8Gt1vtsCQcA,94,people eating noodle,train
eZZ3u2q9cIg,141,people eating noodle,train
yQhqhanGwQQ,98,people eating noodle,train
mjMHIEFwwYI,215,people eating noodle,train
HKkpuguS48c,314,people eating noodle,train
ypiQUeeUXdU,282,people eating noodle,train
78Ik4nzTnKA,51,people eating noodle,train
KndXOcK6tfY,211,people eating noodle,train
Evh-bm79BgQ,275,people eating noodle,test
mCY1Z1cmc-s,359,people eating noodle,test
Rd3NlfbA7yQ,38,barn swallow calling,train
4NfkEPEMDl4,3,barn swallow calling,train
1Zk1-49QJE8,111,barn swallow calling,train
nOsgwnMxkEg,166,barn swallow calling,train
7EC4BzS6akk,78,barn swallow calling,train
YeEySSrxwpg,98,barn swallow calling,train
CR-QgaCcbB8,19,barn swallow calling,train
HsUmSq6JuSY,130,barn swallow calling,train
7P_SwPV1FcU,0,barn swallow calling,test
al7bGtNVe4E,161,barn swallow calling,test
XaJhGa-tFWo,0,skidding,train
Kz6XIUjYIVA,10,skidding,train
2X94TArF_Jg,70,skidding,train
knPm1xbguMI,40,skidding,train
0EdO4TqD7gg,30,skidding,train
1LAknnlMGEA,120,skidding,train
qsrBwyB-zOs,10,skidding,train
CzB0DplCSOg,0,skidding,train
Fo_FDiZhzDo,30,skidding,test
gFJjYWXeBn0,30,skidding,test
uWlLgXgQe5E,308,people eating apple,train
0ORvUZF6V7w,46,people eating apple,train
67bkRwSKiwM,73,people eating apple,train
7_ahRmCmLIg,617,people eating apple,train
30ipHASErDQ,421,people eating apple,train
7lXjR7X1fXw,498,people eating apple,train
DTCvxgSXT-E,220,people eating apple,train
VNnZ5H3SmS4,335,people eating apple,train
KM-k9Ozvuec,291,people eating apple,test
orZvoPflJOY,107,people eating apple,test
pWZY7ZfDKHs,16,playing shofar,train
N2-Cc1H5yII,53,playing shofar,train
wKeBm_Lsh2Y,19,playing shofar,train
CrKiB2TuECM,353,playing shofar,train
kQ_Nv9-xaKE,285,playing shofar,train
686SoqV70y0,123,playing shofar,train
c-QForqKFhY,5,playing shofar,train
Jo7noH-2ocM,327,playing shofar,train
WUJXiIqMhCs,36,playing shofar,test
nYM95RKzxEs,235,playing shofar,test
KNmIrmEBVY4,143,parrot talking,train
5lhBGwoDqkU,46,parrot talking,train
voWVEyMkRGs,158,parrot talking,train
6OtxvduNt0s,68,parrot talking,train
owkXjIhATAk,32,parrot talking,train
64KBgf_AVKk,131,parrot talking,train
VJ0wPqhjjd4,89,parrot talking,train
iB52iP2a_MY,77,parrot talking,train
DCZeMextoMU,34,parrot talking,test
j-UGe1kz-HY,3,parrot talking,test
R8-QHEZTypY,3,cheetah chirrup,train
xP6xZ1zU384,10,cheetah chirrup,train
rtG9Xhqzcf8,32,cheetah chirrup,train
dj0g8lt-PfA,26,cheetah chirrup,train
Qf_O8-aS21A,0,cheetah chirrup,train
k2WmlZMHP0M,45,cheetah chirrup,train
puVD_M0qRhM,108,cheetah chirrup,train
cm4pTS-BrN0,263,cheetah chirrup,train
6yAVCOMXo1I,154,cheetah chirrup,test
f29XHnPHKj8,12,cheetah chirrup,test
-VJ9zcAFFzI,20,people babbling,train
tsP4PSWMs7c,110,people babbling,train
Aeh8H8PXq7A,102,people babbling,train
tWDG6UsiG3s,90,people babbling,train
nkBgV9lcHJ8,160,people babbling,train
OfD_WgjFACM,62,people babbling,train
Qrl05454IFg,10,people babbling,train
lluzItlOMlQ,10,people babbling,train
Cmhpj4MJ_hQ,20,people babbling,test
an8sNYncBao,450,people babbling,test
5pqC59i89CQ,28,otter growling,train
1NQqOiGTUWw,8,otter growling,train
cpGlszVA4Nk,0,otter growling,train
R0120qKv38Y,83,otter growling,train
8fzwjkCVAgo,3,otter growling,train
4Q4v-Mbe3fc,19,otter growling,train
uL7uIYWDYJE,14,otter growling,train
ZKVTYLYh_FM,29,otter growling,train
HptgOC7kfkw,4,otter growling,test
pMfpDNSFc-w,9,otter growling,test
AY17gRvdDJ8,17,playing tabla,train
H91yces4KQQ,197,playing tabla,train
RtCTjw5b5LM,201,playing tabla,train
FmzIcBXCbxU,261,playing tabla,train
2cVk2TTqH0U,130,playing tabla,train
TxyAmkNQjcY,273,playing tabla,train
ECPRzV3J1wA,0,playing tabla,train
48fdPJsY1jg,262,playing tabla,train
BjaBFY-8pHw,80,playing tabla,test
YeOcx1ox5gQ,330,playing tabla,test
ol4IaphrMRQ,20,"fly, housefly buzzing",train
Mc2u_6eXqGQ,8,"fly, housefly buzzing",train
s1hmq3Kfa4o,29,"fly, housefly buzzing",train
824rM3EJqyY,93,"fly, housefly buzzing",train
fbLUTEA0IbY,4,"fly, housefly buzzing",train
4SToswHS8bw,141,"fly, housefly buzzing",train
TnKmJdo-q1U,75,"fly, housefly buzzing",train
DxLnVl-BS44,0,"fly, housefly buzzing",train
Ed3l6dxQG-Y,128,"fly, housefly buzzing",test
qGRJybFcxqY,7,"fly, housefly buzzing",test
DHV_KwdPehs,79,playing bongo,train
o_e4h7eM9_k,86,playing bongo,train
ih5d5cfUOCE,112,playing bongo,train
N2KfhgUYMjM,11,playing bongo,train
0nMclz8bSrA,49,playing bongo,train
LRWKl_8AjWI,115,playing bongo,train
dmh2ZmD9H70,157,playing bongo,train
LRWKl_8AjWI,51,playing bongo,train
IjQYJJo-cnw,3,playing bongo,test
q_K7AV8EWks,26,playing bongo,test
uAkFnHNa1ZY,300,chainsawing trees,train
Ws0o-zMVZyQ,0,chainsawing trees,train
ZI60bV9pf0E,90,chainsawing trees,train
cjwrRgMmXZ8,240,chainsawing trees,train
uUlzcQs5j_A,30,chainsawing trees,train
Q-j7h0fr7VU,0,chainsawing trees,train
qQuqw2eH-w4,260,chainsawing trees,train
fyxwCwbMZoE,140,chainsawing trees,train
BBukw6JpCeg,70,chainsawing trees,test
cReLETAjLHI,30,chainsawing trees,test
zXJdeQmMkU4,320,dinosaurs bellowing,train
T09lHQWOWCg,84,dinosaurs bellowing,train
9F1oj3W_q34,100,dinosaurs bellowing,train
HJ4mpaRJU3Y,361,dinosaurs bellowing,train
lYaHdoP3mrI,348,dinosaurs bellowing,train
U7ls3kGT3EA,19,dinosaurs bellowing,train
tL4wjJ9MDIk,802,dinosaurs bellowing,train
jbv0pgsOkxc,3,dinosaurs bellowing,train
HIT2YWOALto,2,dinosaurs bellowing,test
tMN_lfBNsm0,6,dinosaurs bellowing,test
li3uLVX41ZE,42,disc scratching,train
Id1Yv5F1wKw,0,disc scratching,train
skHVtZyzpQw,75,disc scratching,train
6eNjhCEdkkQ,116,disc scratching,train
c2lIDEJ-7TY,37,disc scratching,train
42-VvH-bnPE,25,disc scratching,train
TZPNqoK_dbI,0,disc scratching,train
BkWIcKE9R9I,42,disc scratching,train
IXKMzUr2sIo,94,disc scratching,test
hB_UbXeQsjU,53,disc scratching,test
kfrBVhlyrLI,30,church bell ringing,train
l4b0zm-DTqI,50,church bell ringing,train
bQ8OvJfY-RQ,30,church bell ringing,train
3uDl8Uyu-Fc,350,church bell ringing,train
EBSZ629GgS0,0,church bell ringing,train
SJws8LT72OA,550,church bell ringing,train
vX8BvVKMfqc,460,church bell ringing,train
GeH1if8mGvo,24,church bell ringing,train
RLC6BxdpsqM,150,church bell ringing,test
hFKmJx0_Fkg,30,church bell ringing,test
gXUhF1DciMU,260,people hiccup,train
JAEe1dc4Yf4,20,people hiccup,train
IM192eAncKE,20,people hiccup,train
5EjuyYPWKeE,30,people hiccup,train
Kv6zG9f_g9Q,0,people hiccup,train
ngBbN6QLvkY,0,people hiccup,train
Y-xqfGEhCyk,1,people hiccup,train
WuVHPvh4ri8,0,people hiccup,train
JBIGPZK6V5g,40,people hiccup,test
qnRL01qPRA4,100,people hiccup,test
8kSK8hXewb8,30,sliding door,train
9hkbin4eZ-0,30,sliding door,train
BiAPv37KS6Y,47,sliding door,train
JRKAmukTXsQ,22,sliding door,train
5eZFtAn9xqg,5,sliding door,train
YnR8IvPz9G0,272,sliding door,train
-lKESICIPBA,5,sliding door,train
pwrq_NCJCd0,22,sliding door,train
B0YP60j1VR4,12,sliding door,test
bH_4hTLhZi4,30,sliding door,test
